id,unit_value,unit_type,status,created_date,updated_date
1,5,ml,1,1607007117,1607007117
2,8,ml,1,1607007117,1607007117
3,9,ml,1,1607007117,1607007117
4,11,ml,1,1607007117,1607007117
5,12,ml,1,1607007117,1607007117
6,15,ml,1,1607007117,1607007117
7,19,ml,1,1607007117,1607007117
8,20,ml,1,1607007117,1607007117
9,22,ml,1,1607007117,1607007117
10,25,ml,1,1607007117,1607007117
11,30,ml,1,1607007117,1607007117
12,40,ml,1,1607007117,1607007117
13,45,ml,1,1607007117,1607007117
14,49,ml,1,1607007117,1607007117
15,50,ml,1,1607007117,1607007117
16,60,ml,1,1607007117,1607007117
17,70,ml,1,1607007117,1607007117
18,71.5,ml,1,1607007117,1607007117
19,72,ml,1,1607007117,1607007117
20,75,ml,1,1607007117,1607007117
21,80,ml,1,1607007117,1607007117
22,82,ml,1,1607007117,1607007117
23,82.5,ml,1,1607007117,1607007117
24,85,ml,1,1607007117,1607007117
25,90,ml,1,1607007117,1607007117
26,95,ml,1,1607007117,1607007117
27,100,ml,1,1607007117,1607007117
28,108,ml,1,1607007117,1607007117
29,110,ml,1,1607007117,1607007117
30,115,ml,1,1607007117,1607007117
31,120,ml,1,1607007117,1607007117
32,122,ml,1,1607007117,1607007117
33,125,ml,1,1607007117,1607007117
34,130,ml,1,1607007117,1607007117
35,135,ml,1,1607007117,1607007117
36,150,ml,1,1607007117,1607007117
37,155,ml,1,1607007117,1607007117
38,160,ml,1,1607007117,1607007117
39,165,ml,1,1607007117,1607007117
40,170,ml,1,1607007117,1607007117
41,175,ml,1,1607007117,1607007117
42,180,ml,1,1607007117,1607007117
43,185,ml,1,1607007117,1607007117
44,190,ml,1,1607007117,1607007117
45,192.5,ml,1,1607007117,1607007117
46,195,ml,1,1607007117,1607007117
47,200,ml,1,1607007117,1607007117
48,220,ml,1,1607007117,1607007117
49,225,ml,1,1607007117,1607007117
50,240,ml,1,1607007117,1607007117
51,250,ml,1,1607007117,1607007117
52,270,ml,1,1607007117,1607007117
53,275,ml,1,1607007117,1607007117
54,300,ml,1,1607007117,1607007117
55,340,ml,1,1607007117,1607007117
56,350,ml,1,1607007117,1607007117
57,400,ml,1,1607007117,1607007117
58,425,ml,1,1607007117,1607007117
59,430,ml,1,1607007117,1607007117
60,450,ml,1,1607007117,1607007117
61,455,ml,1,1607007117,1607007117
62,475,ml,1,1607007117,1607007117
63,500,ml,1,1607007117,1607007117
64,525,ml,1,1607007117,1607007117
65,580,ml,1,1607007117,1607007117
66,600,ml,1,1607007117,1607007117
67,625,ml,1,1607007117,1607007117
68,650,ml,1,1607007117,1607007117
69,675,ml,1,1607007117,1607007117
70,700,ml,1,1607007117,1607007117
71,750,ml,1,1607007117,1607007117
72,800,ml,1,1607007117,1607007117
73,850,ml,1,1607007117,1607007117
74,860,ml,1,1607007117,1607007117
75,900,ml,1,1607007117,1607007117
76,975,ml,1,1607007117,1607007117
77,"18ml *10",ml,1,1607007117,1607007117
78,"190 ml+ 50ml",ml,1,1607007117,1607007117
79,"20ml * 10",ml,1,1607007117,1607007117
80,"7.5 ml +7.5 ml",ml,1,1607007117,1607007117
81,"860 ml + 220 ml",ml,1,1607007117,1607007117
82,"975 ml + 500 ml",ml,1,1607007117,1607007117
83,1,l,1,1607007117,1607007117
84,1.02,l,1,1607007117,1607007117
85,1.05,l,1,1607007117,1607007117
86,1.2,l,1,1607007117,1607007117
87,1.6,l,1,1607007117,1607007117
88,2,l,1,1607007117,1607007117
89,2.25,l,1,1607007117,1607007117
90,3,l,1,1607007117,1607007117
91,5,l,1,1607007117,1607007117
92,3.8,gms,1,1607007117,1607007117
93,4.4,gms,1,1607007117,1607007117
94,4.53,gms,1,1607007117,1607007117
95,4.8,gms,1,1607007117,1607007117
96,5,gms,1,1607007117,1607007117
97,6,gms,1,1607007117,1607007117
98,6.6,gms,1,1607007117,1607007117
99,7,gms,1,1607007117,1607007117
100,7.4,gms,1,1607007117,1607007117
101,8,gms,1,1607007117,1607007117
102,9,gms,1,1607007117,1607007117
103,10,gms,1,1607007117,1607007117
104,10.1,gms,1,1607007117,1607007117
105,11,gms,1,1607007117,1607007117
106,11.1,gms,1,1607007117,1607007117
107,12,gms,1,1607007117,1607007117
108,12.8,gms,1,1607007117,1607007117
109,13,gms,1,1607007117,1607007117
110,13.2,gms,1,1607007117,1607007117
111,14,gms,1,1607007117,1607007117
112,15,gms,1,1607007117,1607007117
113,16,gms,1,1607007117,1607007117
114,17.8,gms,1,1607007117,1607007117
115,18,gms,1,1607007117,1607007117
116,19,gms,1,1607007117,1607007117
117,20,gms,1,1607007117,1607007117
118,21,gms,1,1607007117,1607007117
119,22,gms,1,1607007117,1607007117
120,23,gms,1,1607007117,1607007117
121,24,gms,1,1607007117,1607007117
122,24.5,gms,1,1607007117,1607007117
123,25,gms,1,1607007117,1607007117
124,26,gms,1,1607007117,1607007117
125,28,gms,1,1607007117,1607007117
126,29,gms,1,1607007117,1607007117
127,30,gms,1,1607007117,1607007117
128,31,gms,1,1607007117,1607007117
129,32,gms,1,1607007117,1607007117
130,34,gms,1,1607007117,1607007117
131,34.5,gms,1,1607007117,1607007117
132,35,gms,1,1607007117,1607007117
133,36,gms,1,1607007117,1607007117
134,36.5,gms,1,1607007117,1607007117
135,37,gms,1,1607007117,1607007117
136,37.3,gms,1,1607007117,1607007117
137,38,gms,1,1607007117,1607007117
138,40,gms,1,1607007117,1607007117
139,40.5,gms,1,1607007117,1607007117
140,41,gms,1,1607007117,1607007117
141,42,gms,1,1607007117,1607007117
142,43,gms,1,1607007117,1607007117
143,44,gms,1,1607007117,1607007117
144,45,gms,1,1607007117,1607007117
145,46,gms,1,1607007117,1607007117
146,46.3,gms,1,1607007117,1607007117
147,46.5,gms,1,1607007117,1607007117
148,48,gms,1,1607007117,1607007117
149,49,gms,1,1607007117,1607007117
150,50,gms,1,1607007117,1607007117
151,52,gms,1,1607007117,1607007117
152,52.5,gms,1,1607007117,1607007117
153,55,gms,1,1607007117,1607007117
154,56,gms,1,1607007117,1607007117
155,58,gms,1,1607007117,1607007117
156,59,gms,1,1607007117,1607007117
157,60,gms,1,1607007117,1607007117
158,62,gms,1,1607007117,1607007117
159,63,gms,1,1607007117,1607007117
160,64,gms,1,1607007117,1607007117
161,65,gms,1,1607007117,1607007117
162,66,gms,1,1607007117,1607007117
163,66.7,gms,1,1607007117,1607007117
164,70,gms,1,1607007117,1607007117
165,71,gms,1,1607007117,1607007117
166,72,gms,1,1607007117,1607007117
167,72.5,gms,1,1607007117,1607007117
168,75,gms,1,1607007117,1607007117
169,76,gms,1,1607007117,1607007117
170,78,gms,1,1607007117,1607007117
171,80,gms,1,1607007117,1607007117
172,81,gms,1,1607007117,1607007117
173,82,gms,1,1607007117,1607007117
174,83,gms,1,1607007117,1607007117
175,84,gms,1,1607007117,1607007117
176,85,gms,1,1607007117,1607007117
177,90,gms,1,1607007117,1607007117
178,91,gms,1,1607007117,1607007117
179,93.1,gms,1,1607007117,1607007117
180,95,gms,1,1607007117,1607007117
181,96,gms,1,1607007117,1607007117
182,100,gms,1,1607007117,1607007117
183,105,gms,1,1607007117,1607007117
184,109,gms,1,1607007117,1607007117
185,110,gms,1,1607007117,1607007117
186,115,gms,1,1607007117,1607007117
187,120,gms,1,1607007117,1607007117
188,122,gms,1,1607007117,1607007117
189,125,gms,1,1607007117,1607007117
190,136,gms,1,1607007117,1607007117
191,137,gms,1,1607007117,1607007117
192,137.5,gms,1,1607007117,1607007117
193,138,gms,1,1607007117,1607007117
194,140,gms,1,1607007117,1607007117
195,143,gms,1,1607007117,1607007117
196,145,gms,1,1607007117,1607007117
197,148,gms,1,1607007117,1607007117
198,150,gms,1,1607007117,1607007117
199,155,gms,1,1607007117,1607007117
200,158,gms,1,1607007117,1607007117
201,160,gms,1,1607007117,1607007117
202,168,gms,1,1607007117,1607007117
203,170,gms,1,1607007117,1607007117
204,175,gms,1,1607007117,1607007117
205,180,gms,1,1607007117,1607007117
206,185,gms,1,1607007117,1607007117
207,190,gms,1,1607007117,1607007117
208,195.5,gms,1,1607007117,1607007117
209,196,gms,1,1607007117,1607007117
210,200,gms,1,1607007117,1607007117
211,210,gms,1,1607007117,1607007117
212,217,gms,1,1607007117,1607007117
213,220,gms,1,1607007117,1607007117
214,225,gms,1,1607007117,1607007117
215,240,gms,1,1607007117,1607007117
216,250,gms,1,1607007117,1607007117
217,252,gms,1,1607007117,1607007117
218,260,gms,1,1607007117,1607007117
219,273,gms,1,1607007117,1607007117
220,275,gms,1,1607007117,1607007117
221,280,gms,1,1607007117,1607007117
222,290,gms,1,1607007117,1607007117
223,300,gms,1,1607007117,1607007117
224,305,gms,1,1607007117,1607007117
225,330,gms,1,1607007117,1607007117
226,336,gms,1,1607007117,1607007117
227,350,gms,1,1607007117,1607007117
228,375,gms,1,1607007117,1607007117
229,391,gms,1,1607007117,1607007117
230,400,gms,1,1607007117,1607007117
231,418,gms,1,1607007117,1607007117
232,420,gms,1,1607007117,1607007117
233,450,gms,1,1607007117,1607007117
234,480,gms,1,1607007117,1607007117
235,500,gms,1,1607007117,1607007117
236,560,gms,1,1607007117,1607007117
237,575,gms,1,1607007117,1607007117
238,600,gms,1,1607007117,1607007117
239,605,"gms ",1,1607007117,1607007117
240,623,gms,1,1607007117,1607007117
241,625,gms,1,1607007117,1607007117
242,630,gms,1,1607007117,1607007117
243,650,gms,1,1607007117,1607007117
244,680,gms,1,1607007117,1607007117
245,700,gms,1,1607007117,1607007117
246,750,gms,1,1607007117,1607007117
247,850,gms,1,1607007117,1607007117
248,900,gms,1,1607007117,1607007117
249,924,gms,1,1607007117,1607007117
250,925,gms,1,1607007117,1607007117
251,"1 kg + 500g",gms,1,1607007117,1607007117
252,"10 bags",gms,1,1607007117,1607007117
253,"100gms (20g*  5N)",gms,1,1607007117,1607007117
254,"125g + 20g",gms,1,1607007117,1607007117
255,"150g * 2",gms,1,1607007117,1607007117
256,"2 * 75g",gms,1,1607007117,1607007117
257,2*100,gms,1,1607007117,1607007117
258,2*150,gms,1,1607007117,1607007117
259,2*45,gms,1,1607007117,1607007117
260,200g+100g,gms,1,1607007117,1607007117
261,"200g* 5",gms,1,1607007117,1607007117
262,200g*2,gms,1,1607007117,1607007117
263,2N*175g,gms,1,1607007117,1607007117
264,"3 *125g",gms,1,1607007117,1607007117
265,3*100,gms,1,1607007117,1607007117
266,"3*125g + 75g",gms,1,1607007117,1607007117
267,"3*125g + 100g",gms,1,1607007117,1607007117
268,3*125g,gms,1,1607007117,1607007117
269,"3*125g + 125g",-,1,1607007117,1607007117
270,3*150g,gms,1,1607007117,1607007117
271,3*151g,gms,1,1607007117,1607007117
272,3*185g,gms,1,1607007117,1607007117
273,3*200g,gms,1,1607007117,1607007117
274,"300g + 100g",gms,1,1607007117,1607007117
275,4*125g,gms,1,1607007117,1607007117
276,4*200g,gms,1,1607007117,1607007117
277,4*250g,gms,1,1607007117,1607007117
278,"40g +/-3g",gms,1,1607007117,1607007117
279,4N*10g,gms,1,1607007117,1607007117
280,"500g + 200g",gms,1,1607007117,1607007117
281,500(4*120g),gms,1,1607007117,1607007117
282,"50(10g *5)",gms,1,1607007117,1607007117
283,6*10g,gms,1,1607007117,1607007117
284,"625(4*125g) +1 *125g",gms,1,1607007117,1607007117
285,625(5*125g),gms,1,1607007117,1607007117
286,6N*50g,gms,1,1607007117,1607007117
287,"75g* 3",gms,1,1607007117,1607007117
288,7N*10g,gms,1,1607007117,1607007117
289,"8N* 3g",gms,1,1607007117,1607007117
290,1,kg,1,1607007117,1607007117
291,1.5,kg,1,1607007117,1607007117
292,2,kg,1,1607007117,1607007117
293,3,kg,1,1607007117,1607007117
294,5,kg,1,1607007117,1607007117
295,6,kg,1,1607007117,1607007117
296,8,kg,1,1607007117,1607007117
297,10,kg,1,1607007117,1607007117
298,15,kg,1,1607007117,1607007117
299,25,kg,1,1607007117,1607007117
300,"4kg+2kg free + 1 L liquid Free",kg,1,1607007117,1607007117
301,1,pc,1,1607007117,1607007117
302,12,pcs,1,1607007117,1607007117
303,16,pcs,1,1607007117,1607007117
304,50,pc,1,1607007117,1607007117
305,125,pcs,1,1607007117,1607007117
306,1000,pcs,1,1607007117,1607007117
307,"100 bags",pc,1,1607007117,1607007117
308,"14 pads",pc,1,1607007117,1607007117
309,"16 pads",pc,1,1607007117,1607007117
310,"1pack (10 pcs)",pc,1,1607007117,1607007117
311,"1pack (5 pcs)",pc,1,1607007117,1607007117
312,"20 pads",pc,1,1607007117,1607007117
313,"24 pads",pc,1,1607007117,1607007117
314,25bags,pc,1,1607007117,1607007117
315,"28 pads",pc,1,1607007117,1607007117
316,"40 pads",pc,1,1607007117,1607007117
317,"7 pads",pc,1,1607007117,1607007117
318,"8 pads",pc,1,1607007117,1607007117
319,"Large (8- 14 kg)",pc,1,1607007117,1607007117
320,"Large 12 + M",pc,1,1607007117,1607007117
321,"Large( 9 - 14 kg)",pc,1,1607007117,1607007117
322,"Medium ( 5- 11 kg)",pc,1,1607007117,1607007117
323,"Medium ( 6 - 12 M)",pc,1,1607007117,1607007117
324,"Medium ( 7 -13 kg)",pc,1,1607007117,1607007117
325,"small ( 4-8 kg)",pc,1,1607007117,1607007117
326,"small (upto 7 Kg)",pc,1,1607007117,1607007117
327,"XL ( 12 -17 kg)",pc,1,1607007117,1607007117
328,"XL + 50 pads",pc,1,1607007117,1607007117
329,XL+30pads,pc,1,1607007117,1607007117
330,"XXL (15- 25 kg)",pc,1,1607007117,1607007117
331,1,N,1,1607007117,1607007117
332,5,N,1,1607007117,1607007117
333,8,N,1,1607007117,1607007117
334,9,N,1,1607007117,1607007117
335,10,N,1,1607007117,1607007117
336,12,N,1,1607007117,1607007117
337,20,N,1,1607007117,1607007117
338,24,N,1,1607007117,1607007117
339,25,N,1,1607007117,1607007117
340,26,N,1,1607007117,1607007117
341,30,N,1,1607007117,1607007117
342,36,N,1,1607007117,1607007117
343,50,N,1,1607007117,1607007117
344,54,N,1,1607007117,1607007117
345,"10 ml + 10 g","ml + gms",1,1607007117,1607007117
346,"20 ml + 20 gms","ml + gms",1,1607007117,1607007117
347,"21 g + 24ml","ml + gms",1,1607007117,1607007117
348,"24ml + 26 G","ml + gms",1,1607007117,1607007117
349,"25 gms+25 ml","ml + gms",1,1607007117,1607007117
350,"35 ml + 30 gms","ml + gms",1,1607007117,1607007117
351,"62 gms + 50 ml","ml + gms",1,1607007117,1607007117
352,"70 ml +60 gms","ml + gms",1,1607007117,1607007117
353,"3*185 ml",ml,1,1607007117,1607007117
354,"217 ml",ml,1,1607007117,1607007117
355,10,ml,1,1607007117,1607007117
356,130g,gms,1,1607007117,1607007117
357,33.6g,gms,1,1607007117,1607007117
358,20.1g,gms,1,1607007117,1607007117
359,"4*53 g",gms,1,1607007117,1607007117
360,ml,L,1,1607007117,1607007117
361,360,ml,1,1607007117,1607007117
362,"300 ml + Dettol soap free",ml,1,1607007117,1607007117
363,1.2,kg,1,1607007117,1607007117
364,"XL ( 6 Pads)","1 pc",1,1607007117,1607007117
365,"XL ( 7 Pads)","1 pc",1,1607007117,1607007117
366,"XL ( 20 Pads)","1 pc",1,1607007117,1607007117
367,"XL + ( 6 Pads)","1 pc",1,1607007117,1607007117
368,"XL + ( 15 Pads)","1 pc",1,1607007117,1607007117
369,"XL ( 8 Pads)","1 pc",1,1607007117,1607007117
370,"XL ( 15 Pads)","1 pc",1,1607007117,1607007117
371,"XL ( 30 Pads)","1 pc",1,1607007117,1607007117
372," Regurlar 6 pads","1 pc",1,1607007117,1607007117
373,"Regular 15 pads","1 pc",1,1607007117,1607007117
374,"L wings 280mm (  8 pads)","1 pc",1,1607007117,1607007117
375,"L wings 280mm (  15 pads)","1 pc",1,1607007117,1607007117
376,"XL + ( 7 pads)","1 pc",1,1607007117,1607007117
377,"XXL+ ( 5 pads)","1 pc",1,1607007117,1607007117
378,"XXL+ (6 pads)","1 pc",1,1607007117,1607007117
379,"XXL+ (10 pads)","1 pc",1,1607007117,1607007117
380,"XXL+ (16 pads)","1 pc",1,1607007117,1607007117
381,"XXXL+ (3 pads)","1 pc",1,1607007117,1607007117
382,"XXXL+ (4 pads)","1 pc",1,1607007117,1607007117
383,"XXXL+ (8 pads)","1 pc",1,1607007117,1607007117
384,"XXXL+ (10 pads)","1 pc",1,1607007117,1607007117
385,"XXXL+ (20 pads)","1 pc",1,1607007117,1607007117
386,"XL + (27 Pads)","1 pc",1,1607007117,1607007117
387,"XL + (24 pads)","1 pc",1,1607007117,1607007117
388,4,kg,1,1607007117,1607007117
399,"75g * 4",gms,1,1607007117,1607007117
